Player name,Position,Win,Loss,Earned run Average,Games played,Games Started,Complete Game,Shutout,Save,Save Opportunity,Innings pitched,hit,run,earned run,home run, Hit Batsmen,base on balls,Strikeouts,WHIP,AVG
J Sullivan,P,30,37,4.01,150,55,20,0,5,--,588,601,334,262,25,17,298,216,1.53,0.265
H Okajima,P,17,8,3.09,266,0,0,0,6,22,250.1,228,87,86,27,4,88,216,1.26,0.241
R Bowen,P,17,28,5.3,64,60,3,1,0,0,326,350,208,192,35,10,184,216,1.64,0.277
L Sanchez,P,28,21,3.75,194,1,0,0,27,27,369.2,371,169,154,32,15,145,216,1.4,0.267
G Chacin,P,27,17,4.23,102,58,0,0,1,1,370,391,187,174,48,17,138,216,1.43,0.273
D Bochtler,P,9,18,4.57,220,0,0,0,6,6,260,231,140,132,36,6,166,215,1.53,0.241
J Reyes,P,13,26,6.06,72,62,1,0,0,0,337,405,251,227,54,12,147,215,1.64,0.3
P Luby,P,40,41,3.88,106,88,73,1,2,--,797.1,810,524,344,32,51,311,215,1.41,0.254
B Sykes,P,23,26,4.65,116,61,10,5,2,2,456.2,497,253,236,54,5,190,215,1.5,0.28
R Nichols,P,11,31,4.43,100,48,6,1,1,1,412.2,460,234,203,42,14,121,214,1.41,0.282
D Stenhouse,P,16,28,4.14,76,56,12,3,1,--,372,339,184,171,48,4,174,214,1.38,0.241
D Nippert,P,14,16,5.31,119,23,0,0,0,1,268,290,163,158,35,11,136,214,1.59,0.274
J Dickson,P,26,25,4.99,73,63,2,1,0,0,397,474,242,220,60,15,122,214,1.5,0.299
S Sundra,P,56,41,4.17,168,99,47,4,2,--,859.1,944,461,398,50,3,321,214,1.47,0.277
D Sanchez,P,19,11,4.1,288,0,0,0,8,17,298.2,292,145,136,33,19,126,214,1.4,0.259
R Hagerman,P,19,33,3.09,81,55,23,4,0,--,431.2,414,218,148,8,15,225,214,1.48,0.263
N Tropeano,P,14,14,4.22,54,39,0,0,0,0,241,237,118,113,40,8,94,214,1.37,0.259
T Pugh,P,25,28,4.97,107,58,4,1,0,0,416.2,479,249,230,51,15,158,214,1.53,0.291
G Canning,P,12,13,4.73,43,41,0,0,0,0,209.1,199,116,110,36,10,81,214,1.34,0.25
G Keefe,P,20,48,5.05,78,71,68,1,1,--,616.1,721,550,346,20,16,360,213,1.75,0.296
R Vickers,P,22,27,2.93,88,45,29,7,2,--,458,426,216,149,1,16,119,213,1.19,0.25
T Hearn,P,12,15,4.92,89,25,0,0,1,3,223,219,131,122,30,7,101,213,1.43,0.255
S Tolleson,P,14,8,3.92,215,0,0,0,46,52,218,205,99,95,31,4,77,213,1.29,0.247
A Cimber,P,22,22,3.17,303,0,0,0,6,14,280.2,264,114,99,20,25,68,213,1.18,0.251
